eps minPts clusters noise
1 1 clusters=3 noise=1361
1 2 clusters=0 noise=1367
1 3 clusters=0 noise=1367
1 4 clusters=0 noise=1367
1 5 clusters=0 noise=1367
1 6 clusters=0 noise=1367
1 7 clusters=0 noise=1367
1 8 clusters=0 noise=1367
1 9 clusters=0 noise=1367
2 1 clusters=24 noise=1314
2 2 clusters=5 noise=1352
2 3 clusters=0 noise=1367
2 4 clusters=0 noise=1367
2 5 clusters=0 noise=1367
2 6 clusters=0 noise=1367
2 7 clusters=0 noise=1367
2 8 clusters=0 noise=1367
2 9 clusters=0 noise=1367
3 1 clusters=105 noise=857
3 2 clusters=49 noise=969
3 3 clusters=22 noise=1099
3 4 clusters=11 noise=1183			
3 5 clusters=4 noise=1226
3 6 clusters=3 noise=1253
3 7 clusters=1 noise=1274
3 8 clusters=2 noise=1291
3 9 clusters=1 noise=1306
4 1 clusters=21 noise=338		silhouette = -0.10391220546615566 dunn = 0.37830940481283704  985 puncte in clasa 0
4 2 clusters=4 noise=372
4 3 clusters=2 noise=385
4 4 clusters=1 noise=399
4 5 clusters=1 noise=409
4 6 clusters=1 noise=413
4 7 clusters=1 noise=426
4 8 clusters=1 noise=432
4 9 clusters=1 noise=436
5 1 clusters=1 noise=73
5 2 clusters=1 noise=73
5 3 clusters=1 noise=75
5 4 clusters=1 noise=75
5 5 clusters=1 noise=75
5 6 clusters=1 noise=75
5 7 clusters=1 noise=75
5 8 clusters=1 noise=76
5 9 clusters=1 noise=77
6 1 clusters=1 noise=3
6 2 clusters=1 noise=3
6 3 clusters=1 noise=3
6 4 clusters=1 noise=3
6 5 clusters=1 noise=3
6 6 clusters=1 noise=3
6 7 clusters=1 noise=3
6 8 clusters=1 noise=3
6 9 clusters=1 noise=3
7 1 clusters=1 noise=0
7 2 clusters=1 noise=0
7 3 clusters=1 noise=0
7 4 clusters=1 noise=0
7 5 clusters=1 noise=0
7 6 clusters=1 noise=0
7 7 clusters=1 noise=0
7 8 clusters=1 noise=0
7 9 clusters=1 noise=0
8 1 clusters=1 noise=0
8 2 clusters=1 noise=0
8 3 clusters=1 noise=0
8 4 clusters=1 noise=0
8 5 clusters=1 noise=0
8 6 clusters=1 noise=0
8 7 clusters=1 noise=0
8 8 clusters=1 noise=0
8 9 clusters=1 noise=0
9 1 clusters=1 noise=0
