1 clusters=50 noise=3071
2.9 8 clusters=3 noise=1159
2.9 9 clusters=3 noise=1183
3.0 1 clusters=41 noise=727
3.0 2 clusters=10 noise=789
3.0 3 clusters=8 noise=825
3.0 4 clusters=6 noise=855
3.0 5 clusters=6 noise=880
3.0 6 clusters=5 noise=912
3.0 7 clusters=4 noise=950
3.0 8 clusters=4 noise=977
3.0 9 clusters=4 noise=1010
3.1 1 clusters=36 noise=617
3.1 2 clusters=9 noise=671
3.1 3 clusters=7 noise=696
3.1 4 clusters=5 noise=718
3.1 5 clusters=5 noise=733
3.1 6 clusters=3 noise=762
3.1 7 clusters=3 noise=787
3.1 8 clusters=3 noise=810
3.1 9 clusters=4 noise=826
3.2 1 clusters=28 noise=522
3.2 2 clusters=7 noise=564
3.2 3 clusters=4 noise=594
3.2 4 clusters=4 noise=609
3.2 5 clusters=4 noise=624
3.2 6 clusters=4 noise=629
3.2 7 clusters=4 noise=646
3.2 8 clusters=4 noise=672
3.2 9 clusters=3 noise=693
3.3 1 clusters=26 noise=446
3.3 2 clusters=6 noise=486
3.3 3 clusters=2 noise=509
3.3 4 clusters=2 noise=519
3.3 5 clusters=2 noise=526
3.3 6 clusters=3 noise=537
3.3 7 clusters=3 noise=549
3.3 8 clusters=3 noise=557
3.3 9 clusters=2 noise=580
3.4 1 clusters=21 noise=370		-> 2769 elements in class 0
3.4 2 clusters=4 noise=404
3.4 3 clusters=2 noise=417
3.4 4 clusters=1 noise=428
3.4 5 clusters=1 noise=432
3.4 6 clusters=1 noise=439
3.4 7 clusters=1 noise=446
3.4 8 clusters=1 noise=449
3.4 9 clusters=1 noise=459
3.5 1 clusters=19 noise=314		-> 2829 elements in class 0
3.5 2 clusters=4 noise=344
3.5 3 clusters=2 noise=354
3.5 4 clusters=1 noise=365
3.5 5 clusters=1 noise=370
3.5 6 clusters=1 noise=376
3.5 7 clusters=1 noise=381
3.5 8 clusters=1 noise=384
3.5 9 clusters=1 noise=385
3.6 1 clusters=17 noise=251		-> 2897 elements in class 0
3.6 2 clusters=3 noise=279
3.6 3 clusters=2 noise=283
3.6 4 clusters=1 noise=298
3.6 5 clusters=1 noise=298
3.6 6 clusters=1 noise=300
3.6 7 clusters=1 noise=304
3.6 8 clusters=1 noise=305
3.6 9 clusters=1 noise=306
3.7 1 clusters=13 noise=217		-> 2942 elements in class 0
3.7 2 clusters=1 noise=241
3.7 3 clusters=1 noise=244
3.7 4 clusters=1 noise=252
3.7 5 clusters=1 noise=258
3.7 6 clusters=1 noise=258
3.7 7 clusters=1 noise=259
3.7 8 clusters=1 noise=261
3.7 9 clusters=1 noise=262
3.8 1 clusters=11 noise=171
3.8 2 clusters=1 noise=191
3.8 3 clusters=1 noise=193
3.8 4 clusters=1 noise=198
3.8 5 clusters=1 noise=206
3.8 6 clusters=1 noise=209
3.8 7 clusters=1 noise=209
3.8 8 clusters=1 noise=212
3.8 9 clusters=1 noise=212
3.9 1 clusters=5 noise=138
3.9 2 clusters=1 noise=146
3.9 3 clusters=1 noise=151
3.9 4 clusters=1 noise=151
3.9 5 clusters=1 noise=155
3.9 6 clusters=1 noise=158
3.9 7 clusters=1 noise=162
3.9 8 clusters=1 noise=166
3.9 9 clusters=1 noise=168
4.0 1 clusters=4 noise=109
4.0 2 clusters=1 noise=115
4.0 3 clusters=1 noise=118
4.0 4 clusters=1 noise=118
4.0 5 clusters=1 noise=120
4.0 6 clusters=1 noise=122
4.0 7 clusters=1 noise=123
4.0 8 clusters=1 noise=126
4.0 9 clusters=1 noise=128
4.1 1 clusters=5 noise=90
4.1 2 clusters=1 noise=98
4.1 3 clusters=1 noise=98
4.1 4 clusters=1 noise=100
4.1 5 clusters=1 noise=101
4.1 6 clusters=1 noise=101
4.1 7 clusters=1 noise=102
4.1 8 clusters=1 noise=102
4.1 9 clusters=1 noise=103
4.2 1 clusters=5 noise=67
4.2 2 clusters=1 noise=75
4.2 3 clusters=1 noise=78
4.2 4 clusters=1 noise=79
4.2 5 clusters=1 noise=79
4.2 6 clusters=1 noise=80
4.2 7 clusters=1 noise=81
4.2 8 clusters=1 noise=82
4.2 9 clusters=1 noise=83
4.3 1 clusters=3 noise=55
4.3 2 clusters=1 noise=59
4.3 3 clusters=1 noise=61
4.3 4 clusters=1 noise=63
4.3 5 clusters=1 noise=63
4.3 6 clusters=1 noise=64
4.3 7 clusters=1 noise=65
4.3 8 clusters=1 noise=65
4.3 9 clusters=1 noise=65
4.4 1 clusters=2 noise=41
4.4 2 clusters=1 noise=43
4.4 3 clusters=1 noise=45
4.4 4 clusters=1 noise=46
4.4 5 clusters=1 noise=47
4.4 6 clusters=1 noise=47
4.4 7 clusters=1 noise=47
4.4 8 clusters=1 noise=48
4.4 9 clusters=1 noise=48
4.5 1 clusters=2 noise=33
4.5 2 clusters=1 noise=35
4.5 3 clusters=1 noise=37
4.5 4 clusters=1 noise=38
4.5 5 clusters=1 noise=38
4.5 6 clusters=1 noise=38
4.5 7 clusters=1 noise=39
4.5 8 clusters=1 noise=39
4.5 9 clusters=1 noise=39
4.6 1 clusters=2 noise=28
4.6 2 clusters=1 noise=30
4.6 3 clusters=1 noise=30
4.6 4 clusters=1 noise=32
4.6 5 clusters=1 noise=32
4.6 6 clusters=1 noise=32
4.6 7 clusters=1 noise=32
4.6 8 clusters=1 noise=32
4.6 9 clusters=1 noise=32
4.7 1 clusters=1 noise=22
4.7 2 clusters=1 noise=22
4.7 3 clusters=1 noise=23
4.7 4 clusters=1 noise=23
4.7 5 clusters=1 noise=23
4.7 6 clusters=1 noise=23
4.7 7 clusters=1 noise=23
4.7 8 clusters=1 noise=23
4.7 9 clusters=1 noise=23
4.8 1 clusters=1 noise=18
4.8 2 clusters=1 noise=18
4.8 3 clusters=1 noise=18
4.8 4 clusters=1 noise=18
4.8 5 clusters=1 noise=19
4.8 6 clusters=1 noise=19
4.8 7 clusters=1 noise=19
4.8 8 clusters=1 noise=19
4.8 9 clusters=1 noise=19
4.9 1 clusters=1 noise=16
4.9 2 clusters=1 noise=16
4.9 3 clusters=1 noise=16
4.9 4 clusters=1 noise=16
4.9 5 clusters=1 noise=16
4.9 6 clusters=1 noise=16
4.9 7 clusters=1 noise=16
4.9 8 clusters=1 noise=16
4.9 9 clusters=1 noise=16
5.0 1 clusters=1 noise=15
5.0 2 clusters=1 noise=15
5.0 3 clusters=1 noise=15
5.0 4 clusters=1 noise=15
5.0 5 clusters=1 noise=15
5.0 6 clusters=1 noise=15
5.0 7 clusters=1 noise=15
5.0 8 clusters=1 noise=15
5.0 9 clusters=1 noise=15
5.1 1 clusters=1 noise=7
5.1 2 clusters=1 noise=7
5.1 3 clusters=1 noise=7
5.1 4 clusters=1 noise=7
5.1 5 clusters=1 noise=7
5.1 6 clusters=1 noise=7
5.1 7 clusters=1 noise=7
5.1 8 clusters=1 noise=7
5.1 9 clusters=1 noise=7
